row_id,order_id,order_date,customer_id,customer_name,customer_address,City,Country,State,zipcode,region,product_id,product_name,unit_prirce,quantity,total_sale
30,US-2012-150630-95706,2013-12-08,TB-21520,Tracy Blumstein,749 Mallie Crossing Suite 980,Philadelphia,United States,Pennsylvania,19140,East,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,372.6
31,US-2012-150630-48149,2013-12-09,TB-21520,Tracy Blumstein,749 Mallie Crossing Suite 980,Philadelphia,United States,Pennsylvania,19140,East,OFF-EN-10001509,Poly String Tie Envelopes,3.264,2,6.528
32,US-2012-150630-98008,2013-12-10,TB-21520,Tracy Blumstein,749 Mallie Crossing Suite 980,Philadelphia,United States,Pennsylvania,19140,East,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,517.824
33,US-2012-150630-57379,2013-12-11,TB-21520,Tracy Blumstein,749 Mallie Crossing Suite 980,Philadelphia,United States,Pennsylvania,19140,East,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,41.148
34,US-2012-150630-59277,2013-12-12,TB-21520,Tracy Blumstein,749 Mallie Crossing Suite 980,Philadelphia,United States,Pennsylvania,19140,East,OFF-AR-10001683,Lumber Crayons,15.76,2,31.52
35,CA-2014-107727-46838,2013-12-13,MA-17560,Matt Abelman,712 Towne Cove Apt. 173,Houston,United States,Texas,77095,Central,OFF-PA-10000249,Staples,29.472,3,88.416
36,CA-2013-117590-91934,2013-12-14,GH-14485,Gene Hale,18483 Lupe Coves,Richardson,United States,Texas,75080,Central,TEC-PH-10004977,GE 30524EE4,1097.544,7,7682.808
37,CA-2013-117590-83003,2013-12-15,GH-14485,Gene Hale,18483 Lupe Coves,Richardson,United States,Texas,75080,Central,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,954.6
38,CA-2012-117415-63961,2013-12-16,SN-20710,Steve Nguyen,405 Clarabelle Islands,Houston,United States,Texas,77041,Central,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,1019.952
39,CA-2012-117415-87780,2013-12-17,SN-20710,Steve Nguyen,405 Clarabelle Islands,Houston,United States,Texas,77041,Central,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,1597.1976
40,CA-2012-117415-88008,2013-12-18,SN-20710,Steve Nguyen,405 Clarabelle Islands,Houston,United States,Texas,77041,Central,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",212.058,3,636.174
41,CA-2012-117415-51839,2013-12-19,SN-20710,Steve Nguyen,405 Clarabelle Islands,Houston,United States,Texas,77041,Central,TEC-PH-10000486,Plantronics HL10 Handset Lifter,371.168,4,1484.672
42,CA-2014-120999-60238,2013-12-20,LC-16930,Linda Cazamias,4353 Emmanuelle Court Suite 764,Naperville,United States,Illinois,60540,Central,TEC-PH-10004093,Panasonic Kx-TS550,147.168,4,588.672
43,CA-2013-101343-99494,2013-12-21,RA-19885,Ruben Ausman,23488 Hahn Bridge,Los Angeles,United States,California,90049,West,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",77.88,2,155.76
44,CA-2014-139619-40401,2013-12-22,ES-14080,Erin Smith,142 Willms Course Suite 866,Melbourne,United States,Florida,32935,South,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,191.232
45,CA-2013-118255-34413,2013-12-23,ON-18715,Odella Nelson,2536 Barbara Drive,Eagan,United States,Minnesota,55122,Central,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,91.96
46,CA-2013-118255-46905,2013-12-24,ON-18715,Odella Nelson,2536 Barbara Drive,Eagan,United States,Minnesota,55122,Central,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,34.92
47,CA-2011-146703-28430,2013-12-25,PO-18865,Patrick O'Donnell,1821 Cullen Prairie Suite 499,Westland,United States,Michigan,48185,Central,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,847.84
48,CA-2013-169194-35292,2013-12-26,LH-16900,Lena Hernandez,9103 Kendrick Prairie,Dover,United States,Delaware,19901,East,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,135
49,CA-2013-169194-95119,2013-12-27,LH-16900,Lena Hernandez,9103 Kendrick Prairie,Dover,United States,Delaware,19901,East,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,43.6
50,CA-2012-115742-94028,2013-12-28,DP-13000,Darren Powers,397 Bashirian Trail Suite 001,New Albany,United States,Indiana,47150,Central,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,229.32
51,CA-2012-115742-39950,2013-12-29,DP-13000,Darren Powers,397 Bashirian Trail Suite 001,New Albany,United States,Indiana,47150,Central,OFF-LA-10002762,Avery 485,75.18,6,451.08
52,CA-2012-115742-97027,2013-12-30,DP-13000,Darren Powers,397 Bashirian Trail Suite 001,New Albany,United States,Indiana,47150,Central,FUR-FU-10001706,Longer-Life Soft White Bulbs,6.16,2,12.32
53,CA-2012-115742-61179,2013-12-31,DP-13000,Darren Powers,397 Bashirian Trail Suite 001,New Albany,United States,Indiana,47150,Central,FUR-CH-10003061,"Global Leather Task Chair, Black",89.99,1,89.99
54,CA-2013-105816-91215,2014-01-01,CB-12535,Claudia Bergmann,616 Connelly Keys Apt. 220,Franklin,United States,New York,10024,East,OFF-FA-10000304,Advantus Push Pins,15.26,7,106.82
55,CA-2013-105816-30073,2014-01-02,HA-14906,Helen Abelman,456 Tyson Prairie,Franklin,United States,New York,10024,East,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,1029.95,5,5149.75
56,CA-2013-111682-27204,2014-01-03,TB-21055,Ted Butterfield,3205 Schumm Plain,Troy,United States,New York,12180,East,OFF-ST-10000604,Home/Office Personal File Carts,208.56,6,1251.36
57,CA-2013-111682-38414,2014-01-04,TB-21055,Ted Butterfield,3205 Schumm Plain,Troy,United States,New York,12180,East,OFF-PA-10001569,Xerox 232,32.4,5,162
58,CA-2013-111682-18346,2014-01-05,TB-21055,Ted Butterfield,3205 Schumm Plain,Troy,United States,New York,12180,East,FUR-CH-10003968,Novimex Turbo Task Chair,319.41,5,1597.05
59,CA-2013-111682-85600,2014-01-06,TB-21055,Ted Butterfield,3205 Schumm Plain,Troy,United States,New York,12180,East,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",14.56,2,29.12
60,CA-2013-111682-48361,2014-01-07,TB-21055,Ted Butterfield,3205 Schumm Plain,Troy,United States,New York,12180,East,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,60
61,CA-2013-111682-88686,2014-01-08,TB-21055,Ted Butterfield,3205 Schumm Plain,Troy,United States,New York,12180,East,OFF-BI-10001460,Plastic Binding Combs,48.48,4,193.92
62,CA-2013-111682-96631,2014-01-09,TB-21055,Ted Butterfield,3205 Schumm Plain,Troy,United States,New York,12180,East,OFF-AR-10001868,Prang Dustless Chalk Sticks,1.68,1,1.68
63,CA-2012-135545-99530,2014-01-10,KM-16720,Kunst Miller,235 Kemmer Club Suite 162,Los Angeles,United States,California,90004,West,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,27.96
64,CA-2012-135545-46713,2014-01-11,KM-16720,Kunst Miller,235 Kemmer Club Suite 162,Los Angeles,United States,California,90004,West,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,154.944
65,CA-2012-135545-37597,2014-01-12,KM-16720,Kunst Miller,235 Kemmer Club Suite 162,Los Angeles,United States,California,90004,West,OFF-PA-10003892,Xerox 1943,146.73,3,440.19
66,CA-2012-135545-70434,2014-01-13,KM-16720,Kunst Miller,235 Kemmer Club Suite 162,Los Angeles,United States,California,90004,West,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,79.76,4,319.04
67,US-2012-164175-42325,2014-01-14,PS-18970,Paul Stevenson,7977 Tremaine Curve,Chicago,United States,Illinois,60610,Central,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,1065.575
68,CA-2011-106376-15580,2014-01-15,BS-11590,Brendan Sweed,17456 Klein Club,Gilbert,United States,Arizona,85234,West,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,8904.192
69,CA-2011-106376-6736,2014-01-16,BS-11590,Brendan Sweed,17456 Klein Club,Gilbert,United States,Arizona,85234,West,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,167.968,4,671.872
70,CA-2013-119823-81836,2014-01-17,KD-16270,Karen Daniels,63921 Jacky Rue,Springfield,United States,Virginia,22153,South,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,151.76
71,CA-2013-106075-1731,2014-01-18,HM-14980,Henry MacAllister,3454 Otto Falls,New York City,United States,New York,10009,East,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,4.616
72,CA-2014-114440-25855,2014-01-19,TB-21520,Tracy Blumstein,749 Mallie Crossing Suite 980,Jackson,United States,Michigan,49201,Central,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,57.15
73,US-2012-134026-58208,2014-01-20,JE-15745,Joel Eaton,95039 Heber Roads,Memphis,United States,Tennessee,38109,South,FUR-CH-10000513,High-Back Leather Manager's Chair,831.936,8,6655.488
74,US-2012-134026-69186,2014-01-21,JE-15745,Joel Eaton,95039 Heber Roads,Memphis,United States,Tennessee,38109,South,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,194.08
75,US-2012-134026-88763,2014-01-22,JE-15745,Joel Eaton,95039 Heber Roads,Memphis,United States,Tennessee,38109,South,OFF-ST-10004123,Safco Industrial Wire Shelving System,72.784,1,72.784
76,US-2014-118038-6730,2014-01-23,KB-16600,Ken Brennan,9390 Mante Point Suite 915,Houston,United States,Texas,77041,Central,OFF-BI-10004182,Economy Binders,1.248,3,3.744
77,US-2014-118038-13770,2014-01-24,KB-16600,Ken Brennan,9390 Mante Point Suite 915,Houston,United States,Texas,77041,Central,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",9.708,3,29.124
78,US-2014-118038-86915,2014-01-25,KB-16600,Ken Brennan,9390 Mante Point Suite 915,Houston,United States,Texas,77041,Central,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,81.72
79,US-2011-147606-96209,2014-01-26,JE-15745,Joel Eaton,95039 Heber Roads,Houston,United States,Texas,77070,Central,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,96.5
80,CA-2013-127208-60662,2014-01-27,SC-20770,Stewart Carmichael,4570 Hoyt Flats Apt. 075,Decatur,United States,Alabama,35601,South,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,208.16
81,CA-2013-127208-46209,2014-01-28,SC-20770,Stewart Carmichael,4570 Hoyt Flats Apt. 075,Decatur,United States,Alabama,35601,South,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,50.22
82,CA-2011-139451-41725,2014-01-29,DN-13690,Duane Noonan,1226 Schroeder Run Apt. 466,San Francisco,United States,California,94122,West,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,74.5
83,CA-2011-139451-58843,2014-01-30,DN-13690,Duane Noonan,1226 Schroeder Run Apt. 466,San Francisco,United States,California,94122,West,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,21.39
84,CA-2012-149734-24336,2014-01-31,JC-16105,Julie Creighton,6375 Swift Landing Suite 376,Durham,United States,North Carolina,27707,South,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,1406.888
85,US-2014-119662-95069,2014-02-01,CS-12400,Christopher Schild,7642 Morar Manor,Chicago,United States,Illinois,60623,Central,OFF-ST-10003656,Safco Industrial Wire Shelving,230.376,3,691.128
86,CA-2014-140088-28060,2014-02-02,PO-18865,Patrick O'Donnell,1821 Cullen Prairie Suite 499,Columbia,United States,South Carolina,29203,South,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,301.96,2,603.92
87,CA-2014-155558-84375,2014-02-03,PG-18895,Paul Gonzalez,7406 Nannie Branch,Rochester,United States,Minnesota,55901,Central,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,19.99
88,CA-2014-155558-23364,2014-02-04,PG-18895,Paul Gonzalez,7406 Nannie Branch,Rochester,United States,Minnesota,55901,Central,OFF-LA-10000134,Avery 511,6.16,2,12.32
89,CA-2013-159695-44405,2014-02-05,GM-14455,Gary Mitchum,80238 Connelly Valley Suite 418,Houston,United States,Texas,77095,Central,OFF-ST-10003442,Eldon Portable Mobile Manager,158.368,7,1108.576
90,CA-2013-109806-41487,2014-02-06,JS-15685,Jim Sink,8138 Hessel Fork Suite 463,Los Angeles,United States,California,90036,West,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,20.1,3,60.3
91,CA-2013-109806-6476,2014-02-07,JS-15685,Jim Sink,8138 Hessel Fork Suite 463,Los Angeles,United States,California,90036,West,TEC-PH-10004093,Panasonic Kx-TS550,73.584,2,147.168
92,CA-2013-109806-34932,2014-02-08,JS-15685,Jim Sink,8138 Hessel Fork Suite 463,Los Angeles,United States,California,90036,West,OFF-PA-10000304,Xerox 1995,6.48,1,6.48
93,CA-2012-149587-84823,2014-02-09,KB-16315,Karl Braun,3040 Alene Underpass,Minneapolis,United States,Minnesota,55407,Central,OFF-PA-10003177,Xerox 1999,12.96,2,25.92
94,CA-2012-149587-20127,2014-02-10,KB-16315,Karl Braun,3040 Alene Underpass,Minneapolis,United States,Minnesota,55407,Central,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,160.02
95,CA-2012-149587-25733,2014-02-11,KB-16315,Karl Braun,3040 Alene Underpass,Minneapolis,United States,Minnesota,55407,Central,OFF-BI-10002852,Ibico Standard Transparent Covers,32.96,2,65.92
96,US-2014-109484-16804,2014-02-12,RB-19705,Roger Barcio,608 Hills Lake Suite 797,Portland,United States,Oregon,97206,West,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,5.682
97,CA-2014-161018-26204,2014-02-13,PN-18775,Parhena Norris,8669 Ratke Overpass,New York City,United States,New York,10009,East,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,96.53,7,675.71
98,CA-2014-157833-27013,2014-02-14,KD-16345,Katherine Ducich,145 Harber Gardens Suite 531,San Francisco,United States,California,94122,West,OFF-BI-10001721,Trimflex Flexible Post Binders,51.312,3,153.936
99,CA-2013-149223-1994,2014-02-15,ER-13855,Elpida Rittenbach,99889 Cary Parkways Suite 992,Saint Paul,United States,Minnesota,55106,Central,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,467.28
100,CA-2013-158568-28341,2014-02-16,RB-19465,Rick Bensley,2975 Alyce Hollow,Chicago,United States,Illinois,60610,Central,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,64.624,7,452.368
101,CA-2013-158568-98128,2014-02-17,RB-19465,Rick Bensley,2975 Alyce Hollow,Chicago,United States,Illinois,60610,Central,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,287.928
102,CA-2013-158568-4023,2014-02-18,RB-19465,Rick Bensley,2975 Alyce Hollow,Chicago,United States,Illinois,60610,Central,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,1.788,3,5.364
103,CA-2013-129903-74263,2014-02-19,GZ-14470,Gary Zandusky,8331 Sanford Wall,Rochester,United States,Minnesota,55901,Central,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,95.68
104,US-2012-156867-41556,2014-02-20,LC-16870,Lena Cacioppo,9590 Swift Via Apt. 987,Aurora,United States,Colorado,80013,West,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,1433.376
105,US-2012-156867-27965,2014-02-21,LC-16870,Lena Cacioppo,9590 Swift Via Apt. 987,Aurora,United States,Colorado,80013,West,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,307.08
106,US-2012-156867-19500,2014-02-22,LC-16870,Lena Cacioppo,9590 Swift Via Apt. 987,Aurora,United States,Colorado,80013,West,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,110.646
107,CA-2014-119004-23275,2014-02-23,JM-15250,Janet Martin,57893 Sauer Shoal,Charlotte,United States,North Carolina,28205,South,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,592.896
108,CA-2014-119004-10293,2014-02-24,JM-15250,Janet Martin,57893 Sauer Shoal,Charlotte,United States,North Carolina,28205,South,TEC-PH-10002844,Speck Products Candyshell Flip Case,27.992,1,27.992
109,CA-2014-119004-93280,2014-02-25,JM-15250,Janet Martin,57893 Sauer Shoal,Charlotte,United States,North Carolina,28205,South,OFF-AR-10000390,Newell Chalk Holder,3.304,1,3.304
110,CA-2012-129476-64317,2014-02-26,PA-19060,Pete Armstrong,35111 Ralph Hill,Orland Park,United States,Illinois,60462,Central,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,339.96,5,1699.8
111,CA-2014-146780-55862,2014-02-27,CV-12805,Cynthia Voltz,51999 Murphy Common Suite 033,New York City,United States,New York,10035,East,FUR-FU-10001934,Magnifier Swing Arm Lamp,41.96,2,83.92
112,CA-2013-128867-81760,2014-02-28,CL-12565,Clay Ludtke,5203 Towne Valleys Apt. 057,Urbandale,United States,Iowa,50322,Central,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,151.92
113,CA-2013-128867-2198,2014-03-01,CL-12565,Clay Ludtke,5203 Towne Valleys Apt. 057,Urbandale,United States,Iowa,50322,Central,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",27.24,6,163.44
114,CA-2011-115259-63796,2014-03-02,RC-19960,Ryan Crowe,673 Brain Junction Suite 786,Columbus,United States,Ohio,43229,East,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,561.344
115,CA-2011-115259-61263,2014-03-03,RC-19960,Ryan Crowe,673 Brain Junction Suite 786,Columbus,United States,Ohio,43229,East,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,9.44
116,CA-2011-115259-86234,2014-03-04,RC-19960,Ryan Crowe,673 Brain Junction Suite 786,Columbus,United States,Ohio,43229,East,OFF-PA-10004965,Xerox 1921,23.976,3,71.928
117,CA-2011-115259-77472,2014-03-05,RC-19960,Ryan Crowe,673 Brain Junction Suite 786,Columbus,United States,Ohio,43229,East,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,782.784
118,CA-2012-110457-99888,2014-03-06,DK-13090,Dave Kipp,1359 Hauck Hollow Suite 025,Seattle,United States,Washington,98103,West,FUR-TA-10001768,Hon Racetrack Conference Tables,787.53,3,2362.59
119,US-2012-136476-66793,2014-03-07,GG-14650,Greg Guthrie,5577 Kiehn Gateway,Bristol,United States,Tennessee,37620,South,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,157.794,1,157.794
120,CA-2013-103730-95636,2014-03-08,SC-20725,Steven Cartwright,3523 Burley Rapid,Wilmington,United States,Delaware,19805,East,FUR-FU-10002157,Artistic Insta-Plaque,47.04,3,141.12
121,CA-2013-103730-58324,2014-03-09,SC-20725,Steven Cartwright,3523 Burley Rapid,Wilmington,United States,Delaware,19805,East,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,123.36
122,CA-2013-103730-94010,2014-03-10,SC-20725,Steven Cartwright,3523 Burley Rapid,Wilmington,United States,Delaware,19805,East,OFF-ST-10000777,"Companion Letter/Legal File, Black",226.56,6,1359.36
123,CA-2013-103730-49977,2014-03-11,SC-20725,Steven Cartwright,3523 Burley Rapid,Wilmington,United States,Delaware,19805,East,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,115.02,9,1035.18
124,CA-2013-103730-98568,2014-03-12,SC-20725,Steven Cartwright,3523 Burley Rapid,Wilmington,United States,Delaware,19805,East,TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,476.28
